title,link,short_link
avviso segreteria didattica:rag.alessandra petrone,https://www.abafg.it/avviso-segreteria-didatticarag-alessandra-petrone-5/,https://tinyurl.com/2pw2h6u6
chiusura accademia per le festivitaâ€™ natalizie,https://www.abafg.it/chiusura-accademia-per-le-festivita-natalizie-2/,https://tinyurl.com/2qtv3fb3
mostra giuseppe ar,https://www.abafg.it/mostra-giuseppe-ar/,https://tinyurl.com/2mtv6ujd
orario provvisorio aggiornato al 25.11.2022 in vigore dal 28 novembre 2022,https://www.abafg.it/orario-provvisorio-aggiornato-al-25-11-2022/,https://tinyurl.com/2fqxlnan
d.d. n. 14 del 25.11.2022 graduatoria definitiva abpr19 graphic design,https://www.abafg.it/d-d-n-14-del-25-11-2022-graduatoria-definitiva-abpr19-graphic-design/,https://tinyurl.com/2g3a644b
proroga bando affidamenti interni d.d. n. 3 del 4.11.2022,https://www.abafg.it/proroga-bando-affidamenti-interni-d-d-n-3-del-4-11-2022/,https://tinyurl.com/2zql252c
d.d. n.  7 del 15.11.2022 decreto graduatoria provvisoria abpr19,https://www.abafg.it/d-d-n-7-del-15-11-2022-decreto-graduatoria-provvisoria-abpr19/,https://tinyurl.com/2zjpnhsk
d.d. n. 5 del 10.11.2022 decreto di nomina commissione abpr19,https://www.abafg.it/d-d-n-5-del-10-11-2022-decreto-di-nomina-commissione-abpr19/,https://tinyurl.com/2qjs8k89
d.d.81 del 26.10.2022 graduatoria definitiva abst48 storia delle arti applicate,https://www.abafg.it/d-d-81-del-26-10-2022-graduatoria-definitiva-abst48-storia-delle-arti-applicate/,https://tinyurl.com/2j27x5j2
avviso presentazione domande cultore della materia a.a.22.23-scadenza 11.11.2022,https://www.abafg.it/avviso-presentazione-domande-cultore-della-materia-a-a-22-23-scadenza-11-11-2022/,https://tinyurl.com/2hgpc2ht
